meas_num_id,meas_id,method_name,method_type,n_blocks,n_aliases
GLOBmeas_259,pycnom_ufactor_32,PYCNOM:UFactor:32,custom,45,2
GLOBmeas_260,abbe_ufactor_8,ABBE:UFactor:8,custom,44,2
GLOBmeas_261,fpint_ufactor_16,FPINT:UFactor:16,custom,44,2
GLOBmeas_262,isothermal_titration_calorimeter,Isothermal Titration Calorimeter,custom,44,3
GLOBmeas_263,sdsc_ufactor_2,SDSC:UFactor:2,custom,44,1
GLOBmeas_264,visobs_ufactor_6,VISOBS:UFactor:6,custom,44,1
GLOBmeas_265,correlation_gc,correlation GC,custom,43,2
GLOBmeas_266,electrical_conductivity_meter_dds_307_djs_1c_platinum_black_electrode,electrical conductivity meter DDS-307 (DJS-1C platinum black electrode),custom,43,1
GLOBmeas_267,inverse_gas_chromatography,inverse gas chromatography,custom,43,1
GLOBmeas_268,smallad_ufactor_4,SMALLAD:UFactor:4,custom,43,1
GLOBmeas_269,dsc_ufactor_2,DSC:UFactor:2,custom,42,1
GLOBmeas_270,melting_point_device,melting point device,custom,42,1
GLOBmeas_271,captub_ufactor_6,CAPTUB:UFactor:6,custom,41,2
GLOBmeas_272,differential_scanning_calorimeter,Differential scanning calorimeter,custom,41,3
GLOBmeas_273,vapor_pressure_osmometry,vapor pressure osmometry,custom,41,3
GLOBmeas_274,vibtub_ufactor_5,VIBTUB:UFactor:5,custom,41,2
GLOBmeas_275,dilutor,dilutor,custom,40,1
GLOBmeas_276,isopvt,ISOPVT,custom,40,1
GLOBmeas_277,pulseh_ufactor_4,PULSEH:UFactor:4,custom,40,2
GLOBmeas_278,uv_spectrophotometer,UV spectrophotometer,custom,40,3
GLOBmeas_279,isothermal_titration_calorimetry,isothermal titration calorimetry,custom,39,4
GLOBmeas_280,pycnom_ufactor_6,PYCNOM:UFactor:6,custom,39,2
GLOBmeas_281,rixvdn,RIXVDN,custom,39,1
GLOBmeas_282,static_equilibrium_method,Static equilibrium method,custom,39,1
GLOBmeas_283,atomic_absorption_spectroscopy,atomic absorption spectroscopy,custom,38,2
GLOBmeas_284,concyl_ufactor_8,CONCYL:UFactor:8,custom,38,2
GLOBmeas_285,ringte_ufactor_0_5,RINGTE:UFactor:0.5,custom,38,2
GLOBmeas_286,surface_light_scattering,surface light scattering,custom,38,2
GLOBmeas_287,calvet_solid,CALVET:solid,custom,37,2
GLOBmeas_288,gravimetry,Gravimetry,custom,37,2
GLOBmeas_289,inert_gas_stripping,inert gas stripping,custom,37,3
GLOBmeas_290,smallad_ufactor_2,SMALLAD:UFactor:2,custom,37,1
GLOBmeas_291,adiaca_ufactor_4,ADIACA:UFactor:4,custom,36,1
GLOBmeas_292,inverse_liquid_gas_chromatography,Inverse liquid-gas chromatography,custom,36,1
GLOBmeas_293,vibtub_ufactor_24,VIBTUB:UFactor:24,custom,36,2
GLOBmeas_294,pressure_vs_solute_concentration_measurements,Pressure vs. solute Concentration measurements,custom,35,4
GLOBmeas_295,visobs_ufactor_32,VISOBS:UFactor:32,custom,35,1
GLOBmeas_296,visual_method,visual method,custom,35,2
GLOBmeas_297,chromatography_and_titration,Chromatography and Titration,custom,34,2
GLOBmeas_298,custom_adiabatic_calorimeter,Custom adiabatic calorimeter,custom,34,1
GLOBmeas_299,dynamic_light_scattering,dynamic light scattering,custom,34,3
GLOBmeas_300,sdsc_ufactor_0_5,SDSC:UFactor:0.5,custom,34,1
GLOBmeas_301,sphere_ufactor_2,SPHERE:UFactor:2,custom,34,2
GLOBmeas_302,gravimetric_from_binodal_data,"gravimetric, from binodal data",custom,33,1
GLOBmeas_303,spectrophotometer,spectrophotometer,custom,33,2
GLOBmeas_304,beer_s_law,Beer's Law,custom,32,1
GLOBmeas_305,commercial_osmometer_gonotec_070,commercial osmometer Gonotec 070,custom,32,1
GLOBmeas_306,knudsen_ufactor_2,KNUDSEN:UFactor:2,custom,32,1
GLOBmeas_307,pendant_drop_method,Pendant drop method,custom,32,3
GLOBmeas_308,captub_ufactor_12,CAPTUB:UFactor:12,custom,31,2
GLOBmeas_309,conplt_ufactor_2,CONPLT:UFactor:2,custom,31,1
GLOBmeas_310,laser_intensity,laser intensity,custom,31,2
GLOBmeas_311,lvpai_ufactor_8,LVPAI:UFactor:8,custom,31,2
GLOBmeas_312,plate_method,plate method,custom,31,2
GLOBmeas_313,shake_flask,Shake-flask,custom,31,2
GLOBmeas_314,vadiac_ufactor_0_5,VADIAC:UFactor:0.5,custom,31,1
GLOBmeas_315,vibtub_ufactor_0_5,VIBTUB:UFactor:0.5,custom,31,1
GLOBmeas_316,abbe_ufactor_16,ABBE:UFactor:16,custom,30,2
GLOBmeas_317,dsc_fp,DSC:FP,custom,30,1
GLOBmeas_318,pressure_drop_on_dissolution,pressure drop on dissolution,custom,30,2
GLOBmeas_319,pulse_heating_to_limit_of_superheat,pulse heating to limit of superheat,custom,30,1
GLOBmeas_320,gravimetric_high_pressure_analyzer,gravimetric high pressure analyzer,custom,29,1
GLOBmeas_321,shake_flask_method,shake-flask method,custom,29,4
GLOBmeas_322,there_were_three_separate_methods_used_please_see_original_paper_for_them,There were three separate methods used - please see original paper for them.,custom,29,1
GLOBmeas_323,vapor_pressure_osmometer,Vapor Pressure Osmometer,custom,29,3
GLOBmeas_324,brillouin_light_scattering,Brillouin light scattering,custom,28,2
GLOBmeas_325,dta_ufactor_3,DTA:UFactor:3,custom,28,1
GLOBmeas_326,laser_flash_apparatus,Laser flash apparatus,custom,28,1
GLOBmeas_327,pressure_drop,pressure drop,custom,28,3
GLOBmeas_328,spectrophotometric_analysis,Spectrophotometric analysis,custom,28,2
GLOBmeas_329,synthetic,Synthetic,custom,28,2
GLOBmeas_330,ccell_ufactor_6,CCELL:UFactor:6,custom,27,2
GLOBmeas_331,chrom_ufactor_12,CHROM:UFactor:12,custom,27,1
GLOBmeas_332,flame_photometry,flame photometry,custom,27,3
GLOBmeas_333,high_performance_liquid_chromatography,high-performance liquid chromatography,custom,27,2
GLOBmeas_334,laser_detection,laser detection,custom,27,3
GLOBmeas_335,adiabatic_solution_calorimetry,adiabatic solution calorimetry,custom,26,2
GLOBmeas_336,conplt_ufactor_4,CONPLT:UFactor:4,custom,26,1
GLOBmeas_337,isopiestic,isopiestic,custom,26,2
GLOBmeas_338,relaxation_calorimetry,Relaxation calorimetry,custom,26,3
GLOBmeas_339,transpir_ufactor_2,TRANSPIR:UFactor:2,custom,26,1
GLOBmeas_340,uv_spectrometry,UV Spectrometry,custom,26,3
GLOBmeas_341,commercial_osmometer_knauer_k_7000,commercial osmometer Knauer K-7000,custom,25,1
GLOBmeas_342,dropv_ufactor_2,DROPV:UFactor:2,custom,25,2
GLOBmeas_343,dta_fp,DTA:FP,custom,25,1
GLOBmeas_344,laser_technique,laser technique,custom,25,3
GLOBmeas_345,pressure_decay_method,pressure decay method,custom,25,2
GLOBmeas_346,dirdil_ufactor_4,DIRDIL:UFactor:4,custom,24,1
GLOBmeas_347,dta_tga,DTA/TGA,custom,24,1
GLOBmeas_348,dta_ufactor_8_fp,DTA:UFactor:8:FP,custom,24,1
GLOBmeas_349,dynamic_method,dynamic method,custom,24,3
GLOBmeas_350,electric_conduction,Electric conduction,custom,24,1
GLOBmeas_351,electrical_conductivity_meter_dds_307_djs_1c_platinum_black_elctrode,electrical conductivity meter DDS-307 (DJS-1C platinum black elctrode),custom,24,1
GLOBmeas_352,flow_method_with_low_residence_time,flow method with low residence time,custom,24,1
GLOBmeas_353,hplc_and_spectra,HPLC and spectra,custom,24,1
GLOBmeas_354,osmomat_k_7000,Osmomat K-7000,custom,24,1
GLOBmeas_355,vibtub_ufactor_128,VIBTUB:UFactor:128,custom,24,2
GLOBmeas_356,piezometer,piezometer,custom,23,2
GLOBmeas_357,uv_vis_spectroscopy,UV-Vis spectroscopy,custom,23,4
